FRASE
el acceso a este congelador está limitado de alguna manera
el ciclista está ocupado recorriendo la calle bordeada de ladrillos
el coche inteligente está aparcado directamente detrás de la furgoneta
el coche va por la carretera mientras el perro mira
el coche viajaba por la carretera con mucho equipaje encima
el comensal disfruta del perrito caliente decorado con el pepinillo
el conductor de un autobús de dos pisos parado afuera
el conductor está limpiando el parabrisas delantero de su autobús
el conjunto de escaleras conduce a otro tramo de escaleras
el contenido de un bolso sentado encima de una cama
el contenido de una bolsa puesta organizada en el suelo
el contenido de una bolsa se muestra en una mesa
el cordero bebé está de pie sobre la hierba verde
el cordero está amamantando por la leche de su madre
el cuadro de la pared está enmarcado por dos lámparas
el cuenco sobre la mesa está lleno de fruta cortada
el cuenco transparente está lleno de trozos de zanahorias cortadas
el cuerpo de un barco se refleja en el agua
el desayuno está listo para ser comido en la mesa
el desierto está en el plato listo para ser comido
el diseño de la habitación contemporánea blanca es muy austero
el dormitorio es de color verde y las sábanas también
el dormitorio está limpio y listo para que lo usemos
el dormitorio está listo para ser limpiado por la mucama
el dormitorio ordenado contiene muebles de oficina que no coinciden
el dormitorio tiene almohadas blancas e iluminado con dos lámparas
el dormitorio tiene dos camas y una canasta de frutas
el dormitorio tiene dos sillas rosas cerca de la cama
el edificio es muy alto y tiene un reloj encima
el edificio tiene un poste de luz con luces delante
el elefante adulto avanza pesadamente por un camino de tierra
el elefante adulto grande camina cerca de árboles recortados desnudos
el elefante camina por el sendero cerca de la cerca
el elefante está parado solo afuera junto a los árboles
el elefante mueve el tronco de un lugar a otro
el elefante se para en la hierba cerca del agua
el elefante tiene una gran mancha blanca en el abdomen
el elegante mouse blanco se encuentra al lado del teclado
el empleado está afuera dirigiendo el tráfico con la señal
el engranaje se está poniendo cómodo con el control remoto
el enorme avión bimotor tiene pintura azul en la cola
el enorme avión tiene motores de turbina sobre sus alas
el enorme oso de peluche está tirado en un sofá
el enorme oso negro está de pie sobre las rocas
el equipaje está apilado junto a una pared de ladrillos
el equipo de béisbol se prepara para salir del campo
el escritorio tiene dos bebidas y una pequeña computadora encima
el espejo del baño está sobre un lavabo de madera
el espejo grande está detrás de una señal de tráfico
el espejo muestra una imagen del microondas en la cocina
el espejo se deja en la mesa de la habitación
el espejo sobre el lavabo del baño está hecho añicos
el espejo y el tocador están decorados en el dormitorio
el esquiador acelera alrededor de una bandera bajando la pendiente
el esquiador con esquís está boca abajo en una colina
el esquiador con una mochila está parado en la nieve
el esquiador del abrigo rojo está rociando nubes de nieve
el esquiador está haciendo un salto alto en la nieve
el esquiador está saltando en el aire sobre la nieve
el esquiador mantiene una pose después de realizar un salto
el esquiador salta alto en el aire haciendo un truco
el esquiador tiene un abrigo rojo que lo hace visible
el excursionista con una mochila está sentado en el inodoro
el exterior de una estación de autobuses está bastante vacío
el exterior de una iglesia con un reloj al lado
el fantasma sostiene un paraguas de cóctel sobre el villano
el faro está en una colina en un día nublado
el florero grande de vidrio está instalado en la pared
el frasco de líquido está al lado de un hongo
el frasco de vidrio transparente tiene un objeto borroso dentro
el fregadero está en la isla de una cocina grande
el frente de un barco se ve en el agua
el frente de un negocio que vende osos de peluche
el frente de una tienda postal china con gente caminando
el frente de una tienda tenuemente iluminado lleno de productos
el fumador de pipa disfruta de su ritual nocturno ahumado
el furgón de cola de un tren en la noche
el futbolista salta para golpear la pelota con la cabeza
el ganado disfruta relajándose a la sombra de un árbol
el ganado está parado en el pasto entre la hierba
el ganado está pastando y descansando en un campo verde
el ganado pasta un campo frente a dos grandes montañas
el gatito bebe de la botella que sostiene la persona
el gatito blanco y naranja yace dentro de un tazón
el gatito está sentado a la mesa con una persona
el gatito examina los plátanos verdes en busca de atún
el gatito se está abrazando junto con la manta morada
el gatito yace de lado junto a una almohada amarilla
el gato camina alrededor de la bicicleta hacia el pájaro
el gato camina sobre el escritorio frente a la computadora
el gato descansa en la cama mientras ve la televisión
el gato disfruta mirando a otros gatos en la computadora
el gato duerme en el sofá con los controles remotos
el gato está acostado aplastando un lado de su cara
el gato está acostado en la computadora portátil siendo acariciado
el gato está acostado mientras alguien le frota la cabeza
el gato está acostado sobre la ropa en la maleta
el gato está debajo de un vehículo en la acera
el gato está durmiendo en la silla de la oficina
el gato está en el escritorio cerca de la computadora
el gato está jugando con los zapatos en el suelo
el gato está mirando alrededor de la bicicleta al pájaro
el gato está mirando hacia la colorida pantalla de televisión
el gato está mirando por encima del asiento del coche
el gato está parado en la esquina de la cama
el gato está posado en el borde de la cama
el gato está sentado en el banco con las flores
el gato está sentado en el viejo bloque de carnicero
el gato está sentado en la alfombra frente al estéreo
el gato está tirado en el alféizar de la ventana
el gato está tirado encima de un par de zapatos
el gato estaba sentado en el auto mirando la lluvia
el gato gris está acostado en el lavabo del baño
el gato gris está sentado al borde de la mesa
el gato marrón está tirado en una bolsa de equipaje
el gato mira por la ventana con ganas de salir
el gato naranja y blanco está sentado en un inodoro
el gato negro está sentado al lado del sombrero negro
el gato negro está sentado encima de la vieja maleta
el gato rayado comienza a pararse encima del escritorio antiguo
el gato se acicala encima de la mesa del taller
el gato se sienta en la cesta de un ciclista
el gato siente curiosidad por las personas en la habitación
el gato tiene la cabeza metida dentro de la bota
el gato tiene una de sus patas dentro del zapato
el gato y las manzanas están cerca de la cerca
el gato yace en un escalón fuera de una puerta
el gran avión azul se destaca con los otros aviones
el gran barco está bajando por el río llevando pasajeros
el gran barco sigue al pequeño barco en el agua
el gran caballo gris tiene el pelo largo y desgreñado
el gran edificio tiene muchas ventanas y una puerta blanca
el gran jumbo jet tiene su tren de aterrizaje bajado
el gran oso está tumbado en la roca al sol
el gran tren central estacionado en la estación de tren
el gran tren está pintado de amarillo azul y gris
el gran tren moderno está en la vía del tren
el grupo de jóvenes ha desembarcado en una zona fangosa
el grupo de niños está poniendo arena en el balde
el grupo de personas está afuera bebiendo en el patio
el grupo de personas está afuera con los paraguas levantados
el grupo de personas está realmente metido en el juego
el grupo de personas está sentado a la mesa comiendo
el grupo de personas salió hoy a volar sus cometas
el grupo de personas se está preparando para comer pastel
el grupo de personas se está reuniendo en el patio
el hombre asiático está decidiendo qué comer en el plato
el hombre balancea el bate de béisbol en el aire
el hombre camina bajo la lluvia con el paraguas levantado
el hombre camina con un paraguas cerca de otros peatones
el hombre camina hacia adelante pero el camino está bloqueado
el hombre camina por un sendero de nieve con esquís
el hombre con una diadema naranja está golpeando la pelota
el hombre conduce el camión de bomberos en el desfile
el hombre cruza los esquís mientras salta en el aire
el hombre de la camisa morada tiene vello facial teñido
el hombre de la camisa roja está vendiendo las verduras
el hombre de la foto lleva una elegante falda escocesa
el hombre de la foto se está preparando para bailar
el hombre de la gran motocicleta negra tiene chaparreras rosadas
el hombre de la sudadera negra lleva una oveja lanuda
el hombre de traje corta el pastel en una reunión
el hombre del traje marrón sostiene una taza de café
el hombre dirige su tabla de surf con un palo
el hombre en el rio está parado sobre un elefante
el hombre es la chaqueta deportiva que sostiene una raqueta
el hombre es un traje húmedo está atrapando una ola
el hombre espera en el semáforo en una motocicleta grande
el hombre espera un servicio en una cancha de tenis
el hombre está acariciando a su caballo mientras está afuera
el hombre está acostado en la cama tomando su temperatura
el hombre está acostado en su dormitorio en su cama
el hombre está agachado con un pequeño modelo de avión
el hombre está bajando por la pared en su patineta
el hombre está balanceando una raqueta de tenis mientras salta
el hombre está caminando por el concreto en su teléfono
el hombre está comiendo la merienda frente a la niña
el hombre está comiendo un perrito caliente en la mesa
el hombre está en el borde para tomar una foto
el hombre está esperando en el autobús y parece dormido
el hombre está esquiando cuesta abajo con las gafas puestas
el hombre está esquiando en la montaña llena de nieve
el hombre está esquiando por la ladera de la montaña
el hombre está esquiando por las laderas cubiertas de nieve
el hombre está feliz con su nueva corbata a rayas
el hombre está haciendo snowboard o caminando en la oscuridad
el hombre está haciendo trucos en su tabla de nieve
el hombre está inclinado y mirando algo en la bicicleta
el hombre está intensamente involucrado en el partido de bádminton
el hombre está jugando a un jugador de video golf
el hombre está jugando tenis en la cancha de tenis
el hombre está jugando videojuegos en la sala de estar
el hombre está mirando por el lado de un tren
el hombre está mirando un viejo motor de tren verde
el hombre está montando su motocicleta alrededor de la curva
el hombre está montando su motocicleta mientras fuma un cigarrillo
el hombre está parado cerca de muchas pilas de sillas
el hombre está parado con su bicicleta en la calle
el hombre está parado en los árboles sosteniendo un paraguas
el hombre está parado en una cama tocando la guitarra
el hombre está parado sobre varios objetos y haciendo malabares
el hombre está patinando dentro de una estructura de estacionamiento
el hombre está pescando desde una canoa en el río
el hombre está posando para una foto en la cebra
el hombre está posando para una foto en su motocicleta
el hombre está recogiendo una manzana del árbol para comer
el hombre está sentado a la luz de una computadora
el hombre está sentado afuera con comida en la mesa
el hombre está sentado en el suelo jugando un videojuego
el hombre está sentado en la esquina de la calle
el hombre está sentado en un banco en su cocina
el hombre está sentado en una silla con un perro
el hombre está sentado en una silla mirando las cometas
el hombre está siendo tonto mientras posa para la foto
el hombre está surfeando en el agua en las olas
el hombre está surfeando en el cielo frente al edificio
el hombre está surfeando en su tabla en el océano
el hombre está tirando de un árbol en la nieve
el hombre está tomando un bocado de un enorme sándwich
el hombre está tomando una foto de su corbata fea
el hombre está tratando de jugar tenis en la cancha
el hombre está tumbado en la arena de la playa
el hombre está usando su computadora portátil en el escritorio
el hombre está usando un urinario en el baño público
el hombre está vendiendo varias especias diferentes en la calle
el hombre está volando su cometa alto en el cielo
el hombre está volando una cometa afuera junto con otros
el hombre estaba escondiendo su rostro detrás de su corbata
el hombre estaba jugando softbol y corriendo a las bases
el hombre estaba sentado en un banco cerca del agua
el hombre golpea el globo de agua con un bate
el hombre golpea la pelota de tenis con una raqueta
el hombre hablando por su celular mira hacia el desierto
el hombre hace un truco en su tabla de surf
el hombre haciendo snowboard por la ladera de la montaña
el hombre lleva algo pesado en la cabeza mientras camina
el hombre lleva overoles y sostiene una tabla de nieve
el hombre lleva un casco de moto en la cabeza
el hombre lleva una bolsa y patina por la acera
el hombre lleva una corbata colorida y una chaqueta oscura
el hombre mira al niño en la tabla de surf
el hombre mira ansiosamente una enorme pizza frente a él
el hombre posa frente a dos relojes en la pared
el hombre posa para la cámara con traje y corbata
el hombre posa para una foto con las dos jirafas
el hombre posa para una foto tonta en el juego
el hombre que espera en los escalones está bien vestido
el hombre que lleva una camisa rosa monta un caballo
el hombre que sostiene abre la chaqueta de su traje
el hombre que usa este baño se afeitó esta mañana
el hombre salta alto para golpear la pelota de tenis
el hombre salta los escalones mientras está en su patineta
el hombre se abraza mientras están vestidos con trajes coloridos
el hombre se está arreglando la corbata alrededor del cuello
el hombre se está preparando para esquiar por las pistas
el hombre se está preparando para surfear en el agua
el hombre se está preparando para volar su cometa afuera
el hombre se está tomando una foto con su celular
el hombre se ha tomado un descanso de su bicicleta
el hombre se inclina cerca del agua mientras se despierta
el hombre se inclina tomando una foto de otro hombre
el hombre se para alrededor de un mercado de verduras
el hombre se prepara para servir la pelota de tenis
el hombre se rompió la uña que ahora está sangrando
el hombre sentado en la silla está leyendo el periódico
el hombre sonríe a la cámara mientras habla por teléfono
el hombre sonríe cerca de una pizza en un restaurante
el hombre sostiene la mano del niño por las laderas
el hombre sostiene un paraguas junto al agua que brota
el hombre sostiene un plátano al lado de la cerca
el hombre sostiene un teléfono al lado de su oreja
el hombre sostiene un trozo de pastel en un plato
el hombre sostiene una cometa de surf en el océano
el hombre sostiene una cometa para prepararla para el vuelo
el hombre sostiene una raqueta de tenis y se inclina
el hombre tiene un abrigo verde y una corbata azul
el hombre tiene un cepillo de dientes en la mano
el hombre tiene un pájaro muy grande en su brazo
el hombre tiene una correa roja en su perro dálmata
el hombre tiene una gorra de béisbol en la mano
el hombre tiene una raqueta de tenis en la mano
el hombre tiene una tabla de surf bajo el brazo
el hombre tiene una tabla de viento en sus manos
el hombre viaja en la parte trasera de una camioneta
el hombre vuela una cometa mientras camina en la playa
el hombre y el niño pequeño esquían por la pendiente
el hombre y la mujer están cortando un pastel juntos
el hombre y la mujer están jugando un videojuego juntos
el hombre y la mujer se congregan fuera del refrigerador
el hombre y la niña pasan junto a la estatua
el horno portátil tiene una pequeña pizza cocinando en él
el horno tostador está pintado en la pared del edificio
el humo sale del tren que viaja por la vía
el imaginativo elefante tiene un tobogán de trompa muy largo
el individuo está patinando en el lado de la baranda
el individuo está sentado en la colina cubierta de nieve
el infierno estará bajando de la montaña con sus esquís
el inodoro de aspecto moderno está en una alcoba verde
el inodoro electrónico como un lavador de inodoros al lado
el inodoro en el baño parece estar fuera de servicio
el inodoro es blanco brillante contra el azulejo de terracota
el inodoro está directamente al lado del lavabo del baño
el inodoro está en un área separada lejos del lavabo
el inodoro moderno está al lado de un pequeño bidé
el inodoro y los lavabos están separados por una pared
el interior de un autobús público vacío con asientos negros
el interior de un avión o tren con poca luz
el interior de un baño antiguo con paneles de madera
el interior de un edificio de almacén con sofás marrones
el interior de un granero con muchos animales en él
el interior de un pequeño edificio con un sofá marrón
el interior de una cabaña de troncos con grandes ventanales
el interior de una casa con muchos detalles de madera
el interior de una cocina con acabados de madera marrón
el jarrón azul se encuentra al lado de la pintura
el jarrón de cristal grande es de color rojo oscuro
el jarrón verde alto contrasta perfectamente con la columna roja
el jet de cuatro turbinas está volando por el cielo
el jinete está montando un caballo en el camino trillado
el joven bateador con casco se prepara para hacer swing
el joven comensal está esperando a sus compañeros de comedor
el joven de la camisa azul está jugando al tenis
el joven está montando su patineta en el estacionamiento vacío
el joven está patinando por una colina cubierta de hierba
el joven está sosteniendo una manzana con picaduras en ella
el joven está surfeando en una ola en el mar
el joven jugador de pelota preparándose para lanzar la pelota
el joven lleva un sombrero a juego con su corbata
el joven se prepara para asustar a su amigo dormido
el juego de béisbol está avanzando a un ritmo rápido
el jugador de baloncesto está saltando para hacer un tiro
el jugador de béisbol está al bate en el campo
el jugador de béisbol está caminando al costado del campo
el jugador de béisbol está jugando béisbol en el campo
el jugador de béisbol está lanzando la pelota con fuerza
el jugador de béisbol está listo para lanzar la pelota
el jugador de béisbol está participando en un juego intenso
el jugador de béisbol está tratando de golpear la pelota
el jugador de béisbol está tratando de lanzar la pelota
el jugador de béisbol golpea la pelota con el bate
el jugador de béisbol hace un swing a la pelota
el jugador de béisbol impulsa su bate en el hit
el jugador de béisbol parece listo para golpear la pelota
el jugador de béisbol se acerca para atrapar una pelota
el jugador de béisbol se está preparando para el campo
el jugador de béisbol se inclina para atrapar la pelota
el jugador de fútbol está tratando de bloquear la pelota
el jugador de la pelota se desliza hacia el plato
el lado de un autobús con un cartel en él
el lado de un tren que está en la hierba
el lado de un tren que está pasando otro tren
el lanzador de béisbol se prepara para lanzar la pelota
el largo tren de vapor se encuentra en la estación
el lavabo al lado del baño pequeño está muy sucio
el lavabo del baño tiene jabón y cepillos de dientes
el lavabo del baño y el botiquín de una casa
el letrero apunta en una dirección con un edificio detrás
el letrero azul tiene una raya roja que lo atraviesa
el letrero comercial es claramente visible para que lo veamos
el letrero de la calle está cerca de grandes edificios
el letrero de la calle está parado en la esquina
el letrero es claramente visible para que todos lo veamos
el letrero indica que la calle va en cierta dirección
el letrero que brilla sobre las luces de la calle
el letrero que está en el costado de un edificio
el letrero rojo y blanco tiene una persona en bicicleta
el loro está posado en la rama de un árbol
el ma está tratando de remolcar un camión más pequeño
el mango de las tijeras es de color rojo brillante
el manillar y los espejos de una motocicleta en movimiento
el material reciclable en bolsas de basura se deja afuera
el medio de un salón de banquetes durante el día
el metro de londres está vacío con ambas puertas abiertas
el microondas está al lado del lavavajillas debajo del mostrador
el microondas está sentado en el mostrador de la cocina
el monitor de la computadora tiene una imagen enmarcada cerca
el mosaico fresco alrededor de una bañera en un baño
el mostrador del baño está muy bien decorado y organizado
el niño cerca del columpio sostiene un guante de béisbol
el niño espera para golpear la pelota de béisbol entrante
el niño está en el aire encima de la cama
el niño está en el parque mirando todas las cometas
el niño está en una patineta y en una rampa
el niño está jugando a la pelota en el parque
el niño está jugando con dos tenedores en la mesa
el niño está muy contento mientras vuela su cometa multicolor
el niño está parado al lado de un pequeño caballo
el niño está patinando por la calle en su patineta
el niño está sentado en su cama leyendo un libro
el niño está sentado sosteniendo una bandera americana y globos
el niño está sosteniendo una raqueta de tenis y esperando
el niño está tirando de la maleta por el asa
el niño golpea la pelota de béisbol con un bate
el niño mira la pelota mientras se prepara para golpearla
el niño monta su patineta al borde de la plataforma
el niño pequeño está comiendo un donut en el auto
el niño pequeño está comiendo una fruta en la mesa
el niño pequeño está jugando un partido de béisbol afuera
el niño pequeño está parado junto a la cerca afuera
el niño pequeño tiene una puntada blanca en la mano
el niño se desliza por el banco en su patineta
el niño se sienta en el caballo en el pasto
el niño sonríe brillantemente mientras le entregan un paraguas rosa
el niño sonríe mientras posa con un uniforme de béisbol
el niño sostiene un control remoto mientras juega un juego
el niño tiene la cabeza colocada cerca de su comida
el niño tiene un oso de peluche en su mochila
el oficial de motocicletas encabeza el desfile de la ciudad
el oficial se baja de su caballo para escribir multas
el osito de peluche lleva un vestido rosa y blanco
el oso de peluche está debajo de un sistema estéreo
el oso de peluche está sentado cerca de la pared
el oso de peluche está sentado sobre una superficie morada
el oso de peluche marrón está sentado en la mesa
el oso de peluche más grande tiene ropa de invierno
el oso de peluche se quedó en el banco vacío
el oso de peluche tiene un gran lazo rojo brillante
el oso está colgado en la esquina de la habitación
el oso está parado en la ladera de la montaña
el oso está sentado en la mesa con una taza
el oso grande está mirando en dirección a la cámara
el oso negro está parado en la hierba verde alta
el oso panda se está relajando en las rocas frías
el oso pardo pasea por el desierto rodeado de hierba
el pájaro amarillo y azul está parado en una rama
el pájaro azul está en una rama de un árbol
el pájaro blanco está colgado boca abajo en la línea
el pájaro blanco y negro está posado en una rama
el pájaro camina junto a un toro con cuernos oscuros
el pájaro está parado sobre una piedra en el patio
el pájaro está posado en una rama de un árbol
el pájaro está sentado en la pequeña rama del árbol
el pájaro está sentado en la playa junto al agua
el pájaro está sentado en una rama es un río
el pájaro pequeño está sentado al lado de una hoja
el pájaro vuela sobre el agua en busca de comida
el pájaro vuela sobre las luces rojas en la playa
el paraguas de colores está sentado junto a la playa
el paraguas está atascado en el área de la cerca
el parquímetro en el estacionamiento tiene las siete y cuarto
el parquímetro está sin usar al lado de la calle
el parquímetro que lo muestra está roto de la nota
el paso entre los edificios modernos es utilizado por ciclistas
el pastel de cumpleaños es un tren que lleva dulces
el pastel de cumpleaños tiene glaseado azul claro y oscuro
el pastel está decorado con recortes en la parte superior
el pastel tiene un gráfico de líneas en la guinda
el patinador aterrizará en los adoquines después de su salto
el patinador cabalga solo por la acera llena de gente
el patinador de rosa monta en una cancha de tenis
el patinador está saltando en el aire en su patineta
el patinador está saltando mientras está en un medio tubo
el patinador está saltando sobre la barandilla en un parque
el patinador podría estar en problemas en la barandilla delgada
el patinador salta su tabla sobre una tapa de alcantarilla
el patinador saltando en el aire desde el medio tubo
el patinador se inclina hacia los lados en su tablero
el patinador usa auriculares mientras salta para agarrar su tabla
el patio trasero y el patio de una hermosa casa
el pelo en la crin de este caballo es largo
el pequeño bebé está de pie con un control remoto
el pequeño bote en el agua va hacia el barco
el pequeño coche granate conduce cerca de dos camiones grandes
el pequeño dormitorio ha sido arreglado y la cama hecha
el pequeño fregadero está ubicado en un tocador de azulejos
el pequeño gato naranja tiene una toalla de papel cerca
el pequeño inodoro se encuentra en la esquina del baño
el pequeño jarrón sobre la mesa tiene algunas flores secas
el pequeño jarrón sobre la mesa tiene flores de colores
el pequeño pájaro está posado en la barandilla de madera
el pequeño pájaro está posado en la rama del árbol
el pequeño pájaro flota en el aire con sus alas
el pequeño perro sentado en el centro de la pasarela
el perro de color claro está durmiendo en el sofá
el perro está acostado a los pies de dos personas
el perro está acostado en el sofá de la habitación
el perro está en el bosque jugando con un palo
el perro está en el campo ladrando al animal grande
el perro está en movimiento mientras se toma la foto
el perro está jugando a la pelota con su amo
el perro está mirando a sus dueños en la playa
el perro está montando en el bote en el agua
el perro está montando en el bote en el río
el perro está parado con un juguete en el suelo
el perro está parado detrás de muchos racimos de plátanos
el perro está sentado en el cojín de la jaula
el perro está sentado en el suelo entre dos piernas
el perro está tirando de una mujer en una patineta
el perro estaba sentado en el sofá cerca del niño
el perro exhausto está tomando una siesta en el sofá
el perro grande está cansado de su día de juego
el perro grande está tratando de hablar con su ama
el perro grande lleva una gorra humana en la cabeza
el perro parado junto a la mesa es muy flaco
el perro peludo recibe la cena servida en un plato
