FRASE
el inodoro de aspecto moderno está en una alcoba verde
el niño monta su patineta al borde de la plataforma
el oso de peluche marrón está sentado en la mesa
la mujer prepara su caballo para una competencia de salto
el tren baja por las vías frente al viejo castillo
la chica del suéter verde está acostada en la cama
hay una computadora portátil negra al lado de un escritorio
la habitación está amueblada con muebles antiguos de diferentes tipos
hay cepillo de dientes y goma de mascar como caramelos
la cocina con horno verde sobre suelo de baldosas blancas
la jirafa está cruzando una calle frente a un auto
el viejo cartel de pizza se sienta en el suelo
hay una carne de patata y zanahorias en el plato
el autobús verde está en una calle con otro tráfico
el coche va por la carretera mientras el perro mira
ella está bien equilibrada en su nueva tabla de surf
la cocina grande tiene muchos gabinetes y cajones de madera
hay ositos de peluche sentados en sillas en una mesa
el hombre se está preparando para volar su cometa afuera
el plato está cubierto con pequeños donuts con diferentes glaseados
el elefante camina por el sendero cerca de la cerca
el joven jugador de pelota preparándose para lanzar la pelota
hay una foto de sábanas y almohadas blancas y limpias
el jugador de béisbol está al bate en el campo
la gente está alineada por un camión de comida rojo
el tren de pasajeros está pintado de marrón y blanco
hay un avión militar que ha aterrizado en el suelo
hay una cebra adulta y una cebra joven caminando juntas
hay una pequeña casa exterior que está hecha de madera
la mujer que sostiene un paraguas está leyendo un folleto
la cama de una habitación de hotel está recién hecha
hay un tren que se muestra parado en las vías
el oficial se baja de su caballo para escribir multas
la gente camina por las vías cuando llega el tren
la mitad de una pizza se sienta encima del plato
la copa tiene una planta que crece fuera de ella
la muñeca se posa en la mesa comiendo una comida
hay rodajas de naranja en frascos de conservas sin tapas
la gran silla roja está ocupada por un pequeño caballito
hay una mujer que esta jugando tenis en la cancha
hay dos pájaros sentados en una rama junto al agua
la gente se reúne en una acera bajo algunos árboles
el gato está durmiendo en la silla de la oficina
hay muchas señales diferentes en este poste de la calle
el hombre está jugando tenis en la cancha de tenis
la colorida cama del niño está metida en este rincón
el gato rayado comienza a pararse encima del escritorio antiguo
hay una torre muy alta que tiene un reloj encima
el bulldog está sentado dentro de la bolsa de viaje
el interior de una casa con muchos detalles de madera
hay una mujer y un niño alimentando a un elefante
el individuo está sentado en la colina cubierta de nieve
hay un hombre saltando en el aire en una patineta
el gato está sentado en la alfombra frente al estéreo
la masa se forma en un círculo en la tela
la anciana está en la cocina lista para hacer comida
hay una mujer agachada con una raqueta jugando al tenis
la mujer está surfeando hábilmente a través de una ola
el grupo de jóvenes ha desembarcado en una zona fangosa
la gente está volando cometas en una playa de arena
hay dos caballos parados en la nieve con un perro
el frasco de vidrio transparente tiene un objeto borroso dentro
el patinador está saltando mientras está en un medio tubo
la gente en un puerto aéreo ordena mucho equipaje etiquetado
el oso está colgado en la esquina de la habitación
el reloj azul y dorado tiene esculturas a su alrededor
hay un cartel de calle con una rosa en él
la familia de los elefantes camina cerca de las rocas
el hombre en el rio está parado sobre un elefante
el tren rojo en las vías bajo una acera cubierta
hay un niño vestido de santa sentado en el banco
hay un tren amarillo y verde subiendo por las vías
hay dos jinetes en motocicletas y montañas en la distancia
el hombre está sentado en una silla con un perro
el hombre que lleva una camisa rosa monta un caballo
hay un niño sentado en el suelo usando un teléfono
hay un snowboarder bajando una colina o montaña muy empinada
hay dos mujeres jugando juntas en un equipo de tenis
el autobús que lleva a los pasajeros a su destino
el coche viajaba por la carretera con mucho equipaje encima
hay una pequeña pizza personal en una tabla de cortar
el ganado está pastando y descansando en un campo verde
el pequeño fregadero está ubicado en un tocador de azulejos
la comida se va a cocinar en un horno tostador
hay un gato tirado en la mesa disfrutando del sol
la cara del reloj en el exterior de un edificio
hay dos perros pug que están sentados en el banco
hay un grupo de pájaros pequeños parados en las sillas
hay una mujer sentada en el sofá jugando un videojuego
el tenista está anticipando la pelota y posicionándose para devolverla
hay un inodoro blanco y un lavabo en este baño
hay tres hombres con cañas de pescar en la playa
la gente está disfrutando de su tiempo en la playa
la mujer mayor está admirando el paseo del pavo real
hay un avión azul y blanco estacionado en la cabina
el avión está despegando de la pista en el aeropuerto
hay muchos pájaros parados en la arena de la playa
el baño de una casa obviamente decorado por una mujer
el becerro es marrón y está parado en la hierba
el avión vuela cerca de una nube en el cielo
hay una rebanada de pizza con pepperoni y piña encima
el baño tiene una bañera rosa y un inodoro rosa
el puesto de control utilizado por el conductor del tren
la grúa está tirando de un cuidado por la calle
hay un banco azul fuera del edificio de color neutro
hay muchos caballos que se pueden ver en este campo
el cordero está amamantando por la leche de su madre
la gente está sentada en una mesa bebiendo una bebida
hay un reloj en la pared entre los dos arcos
el camión está lleno de basura en la parte trasera
el armario se ve grande al lado de la estantería
la gente está alimentando a una jirafa en el zoológico
hay un plátano y una rosquilla en un plato blanco
hay un plato de comida y un plato de sopa
el reloj de pulsera del hombre está sobre la mesa
el letrero indica que la calle va en cierta dirección
hay un televisor que está espantando un jarrón con flores
hay un gran ben en el medio de la ciudad
hay un grupo de personas trabajando en el escritorio grande
el gato está mirando por encima del asiento del coche
el sol brilla intensamente detrás de una señal de stop
hay una cebra en medio de un área de pastizales
la mujer le está entregando un paquete a otra persona
el excursionista con una mochila está sentado en el inodoro
el interior de un pequeño edificio con un sofá marrón
la gente está esperando en el banco en una estación
el tipo habla con sus rutinas en su teléfono celular
la bañera está en un rincón con tres ventanas rodeándola
el fregadero está en la isla de una cocina grande
la mitad de una pizza que está sobre una mesa
el avión está a punto de despegar en la pista
el pobre pato está en una vía fluvial gravemente contaminada
hay un control remoto conectado al tablero de un automóvil
el patinador está saltando sobre la barandilla en un parque
hay un hombre con un perrito caliente en la mano
la cama ha sido cuidadosamente hecha y las almohadas arregladas
el perro salta para atrapar un juguete en el aire
el niño sonríe brillantemente mientras le entregan un paraguas rosa
hay una mujer que está comiendo comida en el plato
la gente está caminando por una acera en una ciudad
la mitad de un pastel con un cuchillo de mantequilla
la gente mira al niño sosteniendo una raqueta de tenis
el hombre se prepara para servir la pelota de tenis
la gran torre del reloj se puede ver calle abajo
el plato está lleno de papas con brócoli y carne
hay cuatro personas en tablas de surf tomando una ola
hay un banco frente a la línea de máquinas expendedoras
la gente está mirando a los elefantes y tomando fotos
el tipo que lleva un sombrero sostiene un plato blanco
el frente de un negocio que vende osos de peluche
el hombre y la mujer están jugando un videojuego juntos
la motocicleta está estacionada en la acera junto al agua
la boca de incendios tiene algo escrito en su costado
hay un reloj que está en exhibición en la ciudad
la gente está parada afuera por la noche con sombrillas
hay un autobús urbano que acaba de cruzar el puente
hay y avión en el cielo volando sobre algunos árboles
el espejo del baño está sobre un lavabo de madera
hay varios caballos tirando de vagones con personas en ellos
el niño está sosteniendo una raqueta de tenis y esperando
hay un tazón de tater tots y un hot dog
hay un sándwich de pollo y ensalada en el plato
hay una gaviota grande que está nadando en el agua
la gente está alimentando a una jirafa en un recinto
el hombre tiene una tabla de viento en sus manos
hay un sándwich de pan chibata en un plato blanco
el hombre está tirando de un árbol en la nieve
hay dos cebras comiendo en un poco de hierba suelta
el gato está debajo de un vehículo en la acera
el joven de la camisa azul está jugando al tenis
hay un beisbolista que acaba de pegarle a la pelota
hay un microondas en esta foto pero no hay nada
el baño pequeño está iluminado por luces sobre el espejo
la gente se ríe de las payasadas de un elefante
la gente camina por una calle concurrida de la ciudad
la gente en el camión está montando en el desfile
el receptor de béisbol camina hacia el montículo de lanzamiento
el cepillo de dientes está colgando del costado del fregadero
hay un tren de cercanías que está en las vías
el patinador cabalga solo por la acera llena de gente
la cocina permanece vacía y sin uso durante el día
la cocina contemporánea está llena de todos los electrodomésticos modernos
el desierto está en el plato listo para ser comido
la cocina necesita ser limpiada antes de que podamos usarla
el tren de pasajeros naranja está cargando pasajeros en él
hay pizza blanca al lado de una botella de vino
el gato está mirando hacia la colorida pantalla de televisión
hay una bicicleta frente a una mujer que vende comida
la esquiadora abre las piernas y salta una pequeña colina
la camioneta tiene un compartimento de almacenamiento en la caja
la gente está sentada en las mesas esperando ser atendidas
la joven está parada bajo la lluvia bajo su paraguas
hay un elefante bebé en la pared que camina solo
hay un perro y un gato sentados en una canasta
el interior de un granero con muchos animales en él
la gente está tumbada en la playa bajo las sombrillas
el niño se sienta en el caballo en el pasto
hay dos personas posando y un hombre sostiene la cámara
el lado de un tren que está en la hierba
hay una sala de estar con una mesa y tv
la mesa y las sillas están desocupadas en la librería
el plato lleno de comida está sentado en la mesa
el tipo y la vaca están sentados en el suelo
hay dos hombres montados en una patineta en la calle
la gente está en un bote pequeño con remos verdes
hay dos letreros de calles frente a dos edificios altos
el cordero bebé está de pie sobre la hierba verde
el jugador de béisbol hace un swing a la pelota
el casco de un barco que está produciendo una estela
la gente monta elefantes y otras personas se paran cerca
la calle está bloqueada por un camión y una grúa
el tráfico está estacionado en el lado de la calle
hay una señal de cruce con una cara sonriente verde
la mano de una persona con un par de tijeras
hay dos niños parados en la hierba junto al agua
el pelo en la crin de este caballo es largo
el banco está vacío por la noche en el parque
el oso de peluche está debajo de un sistema estéreo
el hombre sostiene la mano del niño por las laderas
el patinador podría estar en problemas en la barandilla delgada
el hombre está surfeando en el agua en las olas
hay un camión lleno de gente frente a un edificio
la gente empieza a subir a un gran autobús verde
el grupo de personas está afuera con los paraguas levantados
hay un hombre que está saltando alto en sus esquís
hay una rosa roja en un jarrón de agua transparente
el reloj se eleva sobre el resto de la ciudad
el hombre se está arreglando la corbata alrededor del cuello
hay tres camas de hospital en una habitación de hospital
hay un par de tijeras muy grandes en un mostrador
el bebé está parado en el baño junto al inodoro
el trabajador ferroviario está parado cerca del final del tren
el tren viaja cerca del agua con montañas al fondo
hay una cebra que está de pie junto al agua
hay algunos caballos pastando en la hierba en un corral
el gato está tirado encima de un par de zapatos
hay un caballo parado junto a un poco de hierba
el lavabo del baño y el botiquín de una casa
hay un baño que tiene muchas cosas en el suelo
hay una mujer que está sentada y usando su teléfono
la motocicleta antigua está estacionada al lado de un camión
el oso de peluche tiene un gran lazo rojo brillante
hay dos gatos que están acostados dentro de una tina
la cesta de la bicicleta está llena de manzanas amarillas
la comida se sienta en platos alineados en un mostrador
la comida y la bebida alcohólica están sobre la mesa
la mujer que pasea a un perro sostiene un paraguas
la carne y el brócoli están sentados en un plato
hay un reloj en lo alto de una torre alta
el camión está remolcando una carga pesada por la ciudad
el producto está ordenado ordenadamente en el mercado de agricultores
hay un tren muy grande que viene por las vías
el grupo de personas se está reuniendo en el patio
hay una mujer montando una patineta frente a un auto
la comida está en un plato blanco con flores verdes
el hombre cruza los esquís mientras salta en el aire
hay un hombre que está recogiendo basura en la calle
la comida de algún tipo está apilada en un plato
hay un tazón grande con verduras y brócoli en él
el hombre de la camisa morada tiene vello facial teñido
el chef está preparando un plato con una sartén larga
la gente intenta pagar un parquímetro con un cartel delante
el chico haciendo una voltereta en una tabla de wakeboard
hay dos computadoras portátiles en una mesa y una taza
la gente está debajo de una carpa para comprar productos
el niño está jugando a la pelota en el parque
el perro está sentado en el cojín de la jaula
hay un lavabo y un baño en blanco y negro
hay algunos jugadores de béisbol parados en un campo verde
hay un viejo camión azul que viene por la carretera
la gente camina en un jardín con bancos y flores
el tren se detiene en las vías para recoger pasajeros
el bollo de sándwich grande contiene diferentes tipos de carne
el hombre está tumbado en la arena de la playa
hay una imagen de cerca de una rosquilla de azúcar
el perro está en movimiento mientras se toma la foto
hay un autobús que tiene una bicicleta atada al frente
hay una mujer sentada en un sofá jugando un videojuego
hay un plato de pizza de champiñones en una mesa
hay un chico que está en una tabla de nieve
el sándwich en la mesa está listo para ser comido
el lavabo del baño tiene jabón y cepillos de dientes
el microondas está al lado del lavavajillas debajo del mostrador
el pájaro está sentado en la pequeña rama del árbol
hay una mujer con tres perros diferentes en el parque
la cortina de la ducha está cerrada en el baño
hay muchas tablas de vela y balsas en la playa
el reloj del edificio tiene forma de taza de café
el interior de una cocina con acabados de madera marrón
el gato tiene la cabeza metida dentro de la bota
hay un grupo de ovejas afuera junto a un tronco
hay un hombre parado en la cocina cortando una pizza
el elefante adulto grande camina cerca de árboles recortados desnudos
ella está montando en la parte trasera de esa moto
el tren se detiene en la estación debajo del reloj
el autobús blanco y azul está conduciendo por la carretera
el aeropuerto está ocupado con los diversos aviones y vehículos
el avión azul y blanco está volando por el aire
hay un pastel decorado con estampado de cebra y jirafa
el niño está jugando con dos tenedores en la mesa
hay dos gatos sentados en el alféizar de una ventana
hay un elefante parado con la trompa en la boca
hay autobuses urbanos alineados en la calle frente al edificio
el brócoli y las patatas se colocan en un bol
el patinador está saltando en el aire en su patineta
la chica está usando su celular para tomarse una selfie
hay una pizza pequeña de tamaño personal en una bandeja
hay dos surfistas caminando por la costa en la playa
hay un hombre que está jugando futbol en el campo
hay dos elefantes que se están abrazando en la naturaleza
el gran oso está tumbado en la roca al sol
hay una pequeña muñeca de peluche tirada en la cama
el pájaro vuela sobre el agua en busca de comida
la gente camina por una calle europea mientras sostiene paraguas
el avión delta está estacionado al lado de la terminal
la jirafa y la cebra comparten un área de alimentación
el elefante adulto avanza pesadamente por un camino de tierra
la mujer se para al lado del gran caballo marrón
el equipo de béisbol se prepara para salir del campo
el reloj está en lo alto de la torre alta
el joven está surfeando en una ola en el mar
la gente está en la playa en trajes de baño
hay una pintura de una mujer sosteniendo un paraguas rojo
el sol brillando a través de sombrillas de diferentes colores
el caballo está parado cerca del agua con rocas dentro
el receptor corre desde detrás del plato hacia el campo
el animal está sentado en las rocas mirando el agua
hay un niño sonriendo junto a un pastel de cumpleaños
hay un elefante al final de un sendero de vegetación
hay un hombre que sostiene un teléfono con un sombrero
la cebra está confinada dentro de la cerca de alambre
la cola de un gato negro sobre una laptop plateada
la jirafa está sola afuera sin nada a su alrededor
hay un árbol de navidad en una sala de estar
la gente está en un auto con tres computadoras portátiles
el jugador de béisbol impulsa su bate en el hit
el gatito examina los plátanos verdes en busca de atún
hay un carruaje tirado por caballos pintado de muchos colores
hay dos personas sentadas en el sofá con sus portátiles
